,ds,y
201,2023-12-19,99323.59293323326
202,2023-12-20,97812.82634922244
203,2023-12-21,98922.12236882863
204,2023-12-22,99217.96250671704
205,2023-12-23,99217.96250671704
206,2023-12-24,99217.96250671704
207,2023-12-25,99217.96250671704
208,2023-12-26,99688.08368061663
209,2023-12-27,99864.06482029558
210,2023-12-28,99861.04521619983
211,2023-12-29,99689.95622277516
212,2023-12-30,99689.95622277516
213,2023-12-31,99689.95622277516
214,2024-01-01,99689.95622277516
215,2024-01-02,99066.41237242232
216,2024-01-03,97798.78492713178
217,2024-01-04,97659.41865634016
218,2024-01-05,97618.90461313003
219,2024-01-06,97618.90461313003
220,2024-01-07,97618.90461313003
221,2024-01-08,98959.50908135236
222,2024-01-09,98711.91083384067
223,2024-01-10,99234.91537458684
224,2024-01-11,99461.15471677398
225,2024-01-12,99454.54512002504
226,2024-01-13,99454.54512002504
227,2024-01-14,99454.54512002504
228,2024-01-15,99454.54512002504
229,2024-01-16,99203.33385792462
230,2024-01-17,98617.94539989551
231,2024-01-18,99504.04780301504
232,2024-01-19,100545.09298291308
233,2024-01-20,100545.09298291308
234,2024-01-21,100545.09298291308
235,2024-01-22,101255.3841807927
236,2024-01-23,100765.68421407175
237,2024-01-24,100318.91105580074
238,2024-01-25,100981.8079499013
239,2024-01-26,100913.13467784422
240,2024-01-27,100913.13467784422
241,2024-01-28,100913.13467784422
242,2024-01-29,101831.81255666484
243,2024-01-30,102069.03196698907
244,2024-01-31,100749.34413068139
245,2024-02-01,102232.55302786555
246,2024-02-02,102742.01781491093
247,2024-02-03,102742.01781491093
248,2024-02-04,102742.01781491093
249,2024-02-05,102270.24092926906
250,2024-02-06,102721.42772473802
251,2024-02-07,103719.5012636311
252,2024-02-08,104075.69912971674
253,2024-02-09,104284.74316516262
254,2024-02-10,104284.74316516262
255,2024-02-11,104284.74316516262
256,2024-02-12,104547.77855785447
257,2024-02-13,102991.76753331894
258,2024-02-14,104214.19818574167
259,2024-02-15,105115.15798516566
260,2024-02-16,104308.95793740201
261,2024-02-17,104308.95793740201
262,2024-02-18,104308.95793740201
263,2024-02-19,104308.95793740201
264,2024-02-20,103831.22534071754
265,2024-02-21,103877.25210667425
266,2024-02-22,105909.57800096837
267,2024-02-23,105727.90332210285
268,2024-02-24,105727.90332210285
269,2024-02-25,105727.90332210285
270,2024-02-26,105608.2705591225
271,2024-02-27,105802.5713622413
272,2024-02-28,106031.2083624062
273,2024-02-29,106427.14381510383
274,2024-03-01,107389.33968402108
275,2024-03-02,107389.33968402108
